crdid,number,title,artist,gallery
437980,6217,Cypresses,Vincent van Gogh ,826
437881,6190,Young Woman with a Water Pitcher,Johannes Vermeer ,632
437133,5190,Garden at Sainte-Adresse,Claude Monet ,818
438817,4244,The Dance Class,Edgar Degas ,815
437853,4080,"Venice, from the Porch of Madonna della Salute",Joseph Mallord William Turner ,808
436947,3781,Boating,Édouard Manet,818
436575,3598,View of Toledo,El Greco ,611
435882,3505,Still Life with Apples and a Pot of Primroses,Paul Cézanne,825
435809,3225,The Harvesters,Pieter Bruegel the Elder ,642
488978,3034,Autumn Rhythm (Number 30),Jackson Pollock ,921
12127,3000,Madame X (Madame Pierre Gautreau),John Singer Sargent ,771
436105,2991,The Death of Socrates,Jacques Louis David ,614
489258,2818,The Lighthouse at Two Lights,Edward Hopper ,900
435844,2729,The Musicians,Caravaggio ,624
438815,2700,Madame Georges Charpentier,Auguste Renoir ,824
436535,2642,Wheat Field with Cypresses,Vincent van Gogh ,823
11417,2632,Washington Crossing the Delaware,Emanuel Leutze ,760
486739,2609,Reading at a Table,Pablo Picasso ,901
437394,2423,Aristotle with a Bust of Homer,Rembrandt ,637
486847,2398,Reclining Nude,Amedeo Modigliani ,913
10786,2378,The Beeches,Asher Brown Durand ,759
337496,2309,The Head of the Virgin in Three-Quarter View Facing Right,Leonardo da Vinci ,0
437549,2161,Wheat Fields,Jacob van Ruisdael ,634
438821,2093,Ia Orana Maria (Hail Mary),Paul Gauguin ,826
467642,2088,The Unicorn in Captivity (from the Unicorn Tapestries),0,17
438008,2087,Water Lilies,Claude Monet ,822
435922,2062,Salisbury Cathedral from the Bishop's Grounds,John Constable ,808
10154,2053,"The Rocky Mountains, Lander's Peak",Albert Bierstadt ,760
10497,2009,0,Thomas Cole ,759
437654,1971,Circus Sideshow,Georges Seurat ,826
459106,1954,0,Jean Auguste Dominique Ingres ,957
436002,1911,Woman with a Parrot,Gustave Courbet ,811
483301,1894,"Nasturtiums with the Painting ""Dance"" I",Henri Matisse ,830
11311,1892,Lake George,John Frederick Kensett ,761
14930,1856,"Celia Thaxter's Garden, Isles of Shoals, Maine",Childe Hassam ,769
459112,1840,Two Young Girls at the Piano,Auguste Renoir ,964
10481,1832,Heart of the Andes,Frederic Edwin Church ,760
337497,1816,Studies for the Libyan Sibyl (recto); Studies for the Libyan Sibyl and a small Sketch for a Seated Figure (verso),Michelangelo Buonarroti ,0
488221,1802,Gertrude Stein,Pablo Picasso ,911
437869,1786,"Juan de Pareja (born about 1610, died 1670)",0,610
11122,1778,The Gulf Stream,Winslow Homer ,767
488577,1766,The Midnight Ride of Paul Revere,Grant Wood ,900
437827,1729,Venus and the Lute Player,Titian ,607
436545,1727,0,Goya ,612
488315,1717,I Saw the Figure 5 in Gold,Charles Demuth ,902
484870,1709,Temple Gardens,Paul Klee ,0
253370,1616,Marble statue of a kouros (youth),Archaic,154
10464,1614,At the Seaside,William Merritt Chase ,769
436528,1603,Irises,Vincent van Gogh ,0
489687,1536,The Terrace at Vernonnet,Pierre Bonnard ,0
438822,1530,The Repast of the Lion,Henri Rousseau ,826
437372,1520,Madonna and Child Enthroned with Saints,Raphael ,609
196439,1451,The Little Fourteen-Year-Old Dancer,Edgar Degas ,815
10388,1451,The Cup of Tea,Mary Cassatt ,768
482299,1445,A Storm,Georgia O'Keeffe ,0
436282,1443,The Crucifixion; The Last Judgment,Jan van Eyck ,641
544102,1433,Symbols of Regeneration: Nile Turtle Amulet,Middle Kingdom,111
544076,1432,Artist's Sketch of Pharaoh Spearing a Lion,"New Kingdom, Ramesside",124
488694,1411,"Cow's Skull: Red, White, and Blue",Georgia O'Keeffe ,900
459107,1399,Houses on the Achterzaan,Claude Monet ,957
482133,1392,Stepping Out,Roy Lichtenstein ,924
486007,1371,Report from Rockport,Stuart Davis ,0
435802,1366,Portrait of a Young Man,Bronzino ,609
437790,1362,Allegory of the Planets and Continents,Giovanni Battista Tiepolo ,622
267803,1354,The Flatiron,Edward J. Steichen ,0
437329,1349,The Abduction of the Sabine Women,Nicolas Poussin ,617
484952,1335,Self-Portrait,Andy Warhol ,0
436896,1334,Portrait of a Woman with a Man at a Casement,Fra Filippo Lippi ,604
437128,1324,The Houses of Parliament (Effect of Fog),Claude Monet ,0
481891,1318,The Block,Romare Bearden ,0
436838,1299,The Fortune Teller,Georges de La Tour ,617
337499,1299,The Lake of Zug,Joseph Mallord William Turner ,0
10946,1275,A Gorge in the Mountains (Kauterskill Clove),Sanford Robinson Gifford ,761
436504,1272,The Adoration of the Magi,Giotto di Bondone ,602
459016,1260,The Annunciation,Botticelli ,959
435702,1249,The Horse Fair,Rosa Bonheur ,812
459161,1237,Olive Trees at Collioure,Henri Matisse ,0
81135,1235,Evening dress,0,0
10159,1229,Fur Traders Descending the Missouri,George Caleb Bingham ,0
10819,1228,The Champion Single Sculls (Max Schmitt in a Single Scull),Thomas Eakins ,767
486270,1210,The Studio (Vase before a Window),Georges Braque ,823
16584,1209,George Washington,Gilbert Stuart ,753
437532,1202,0,Peter Paul Rubens ,628
486757,1202,Bird in Space,Constantin Brancusi ,913
11050,1201,Approaching Thunder Storm,Martin Johnson Heade ,761
449537,1194,Mihrab (Prayer Niche),     Mihrab,455
336327,1188,Corridor in the Asylum,Vincent van Gogh ,0
544082,1174,Jerboa figurine,Middle Kingdom,111
470304,1162,Annunciation Triptych (Merode Altarpiece),Workshop of Robert Campin ,19
39915,1158,None,Attributed to Qu Ding ,0
255408,1158,Bronze statuette of a veiled and masked dancer,Hellenistic,0
459193,1145,Road in Etten,Vincent van Gogh ,0
459144,1133,The Palace of Westminster,0,0
436524,1097,Sunflowers,Vincent van Gogh ,826
266199,1088,The Road West,Dorothea Lange ,0
435739,1080,The Toilette of Venus,0,616
435621,1077,Joan of Arc,Jules Bastien-Lepage ,800
42163,1052,None,Tang dynasty ,208
318622,1041,Queen Mother Pendant Mask: Iyoba,th century,352
437107,1037,Landscape: The Parc Monceau,Claude Monet ,818
487065,1022,White Flag,Jasper Johns ,922
486423,1015,Woman with a Cat,0,913
486740,1013,Ariadne,Giorgio de Chirico ,901
436532,993,Self-Portrait with a Straw Hat (obverse: The Potato Peeler),Vincent van Gogh ,826
437127,984,Bridge over a Pond of Water Lilies,Claude Monet ,819
438754,982,Madonna and Child,Duccio di Buoninsegna ,625
11900,973,"Moonlight on Mount Lafayette, New Hampshire",William Trost Richards ,0
265904,972,[Fontainebleau Forest],0,0
544173,950,Statuette of a striding man,Middle Kingdom,111
482598,949,The Mountain,Balthus ,900
14931,948,A Rose,Thomas Anshutz ,768
254587,941,Marble seated harp player,0,151
259797,924,"11:00 A.M. Monday, May 9th, 1910. Newsies at Skeeter's Branch, Jefferson near Franklin. They were all smoking. Location: St. Louis, Missouri.",Lewis Hine ,0
437878,922,A Maid Asleep,Johannes Vermeer ,632
436966,920,The Adoration of the Shepherds,Andrea Mantegna ,606
336222,919,Adam and Eve,0,0
544090,914,Cosmetic Dish in the Shape of a Trussed Duck,"New Kingdom, Amarna Period",121
248904,909,Terracotta krater,uted to the Hirschfeld Workshop,150
337500,908,Lady Lilith,Dante Gabriel Rossetti ,0
252890,907,Marble grave stele of a little girl,Classical,156
323735,906,Standing male worshiper,Early Dynastic I-II,0
254819,902,Marble sarcophagus with the Triumph of Dionysos and the Seasons,"Late Imperial, Gallienic",162
39328,899,Shiva as Lord of Dance (Nataraja),Chola period ,240
437397,898,Self-Portrait,Rembrandt ,634
459087,897,Christ Carrying the Cross,El Greco ,0
206399,894,Bacchanal: A Faun Teased by Children,Gian Lorenzo Bernini ,534
483873,884,Woman,Willem de Kooning ,913
11707,875,George Washington,Charles Willson Peale ,753
437880,865,Woman with a Lute,Johannes Vermeer ,632
544061,862,Male and Female Attendants,"New Kingdom, Amarna Period",121
15583,853,"Surf, Isles of Shoals",Childe Hassam ,769
204758,850,Perseus with the Head of Medusa,Antonio Canova ,548
437310,843,The Boulevard Montmartre on a Winter Morning,Camille Pissarro ,820
437879,841,Study of a Young Woman,Johannes Vermeer ,632
436533,841,Shoes,Vincent van Gogh ,823
254779,836,Terracotta stirrup jar with octopus,Late Helladic IIIC,151
488043,836,Pool Parlor,Jacob Lawrence ,902
255275,835,Marble female figure,uted to the Bastis Master,151
544066,833,Handle Depicting a Lion Subduing a Nubian,"New Kingdom, Ramesside",124
436851,831,"Elizabeth Farren (born about 1759, died 1829), Later Countess of Derby",Sir Thomas Lawrence ,629
436244,829,Virgin and Child with Saint Anne,0,643
38516,826,Seated Ganesha,0,0
10409,819,Portrait of the Artist,Mary Cassatt ,769
267010,818,"Boden Sea, Uttwil",Hiroshi Sugimoto ,0
544068,815,Gazelle,New Kingdom,119
436155,814,The Rehearsal of the Ballet Onstage,Edgar Degas ,816
39901,813,None,Han Gan ,0
544101,812,Hippopotamus figurine,Middle Kingdom,113
254502,811,Bronze statue of Eros sleeping,Hellenistic period,0
11234,809,"Spring Blossoms, Montclair, New Jersey",George Inness ,0
458971,807,The Creation of the World and the Expulsion from Paradise,Giovanni di Paolo ,956
12828,807,The Sortie Made by the Garrison of Gibraltar,John Trumbull ,753
436530,804,Oleanders,Vincent van Gogh ,826
489625,801,Beginning,Max Beckmann ,901
459189,800,Landscape with Stars,Henri-Edmond Cross ,0
436616,795,"Young Man and Woman in an Inn (""Yonker Ramp and His Sweetheart"")",Frans Hals ,634
544072,792,Ibex,New Kingdom,119
438823,788,0,Claude Monet ,819
261941,786,0,Gustave Le Gray ,0
438814,786,The Abduction of Rebecca,0,801
337702,784,Nocturne,James McNeill Whistler ,0
436526,783,"First Steps, after Millet",Vincent van Gogh ,826
436819,782,0,Gustav Klimt ,829
337075,780,Lucretia,Raphael ,690
81139,776,Evening dress,      Callot Soeurs ,0
11133,775,Prisoners from the Front,Winslow Homer ,762
334002,770,A giant seated in landscape,Goya ,0
253348,770,Terracotta lekythos (oil flask),uted to the Amasis Painter,154
486996,767,Bohemia Lies by the Sea,Anselm Kiefer ,915
437877,764,Allegory of the Catholic Faith,Johannes Vermeer ,0
337064,763,Woman Bathing (La Toilette),Mary Cassatt ,0
435997,759,The Storm,Pierre-Auguste Cot ,827
81101,758,Evening dress,  Jacques Fath ,0
436139,756,Dancers Practicing at the Barre,Edgar Degas ,815
436140,756,"Dancers, Pink and Green",Edgar Degas ,816
486839,754,Candlestick and Playing Cards on a Table,Georges Braque ,908
483434,753,"Seated Woman, Back View",Egon Schiele ,0
544067,751,Hair Comb Decorated with Rows of Wild Animals,"Predynastic, Late Naqada III",101
437986,747,The Denial of Saint Peter,Caravaggio ,621
436527,744,The Flowering Orchard,Vincent van Gogh ,826
437926,740,Mezzetin,Antoine Watteau ,616
337493,735,Dune Landscape with Oak Tree,Jacob van Ruisdael ,0
271570,734,Georgia O'Keeffe,Alfred Stieglitz ,0
471179,731,Chapter House from Notre-Dame-de-Pontaut,th century,6
10827,727,The Thinker: Portrait of Louis N. Kenton,Thomas Eakins ,771
254896,726,Terracotta amphora (jar),uted to the Berlin Painter,157
435728,726,The Last Communion of Saint Jerome,Botticelli ,603
436141,717,The Dancing Class,Edgar Degas ,815
437108,706,The Parc Monceau,Claude Monet ,818
489124,694,Seated Harlequin,Pablo Picasso ,917
437658,693,"Study for ""A Sunday on La Grande Jatte""",Georges Seurat ,826
544075,686,Recumbent Anubis,0,0
22521,685,Armor (Gusoku), Helmet bowl signed Saotome Iyetada ,377
488031,684,South of Scranton,Peter Blume ,0
248132,681,Marble statue of an old woman,"Early Imperial, Julio-Claudian",162
437903,680,Charlotte du Val d'Ognes (died 1868),Marie Denise Villers ,613
466178,678,Fragment of a Tapestry or Wall Hanging,0,0
337491,676,Cottage among Trees,Rembrandt ,0
437455,670,The Holy Family with Saints Anne and Catherine of Alexandria,Jusepe de Ribera ,610
488326,670,Brooklyn Bridge,John Marin ,0
262720,666,0,0,0
42178,661,Female Dancer,Western Han dynasty ,207
437131,659,"The Bodmer Oak, Fontainebleau Forest",Claude Monet ,818
329230,655,0,0,0
253592,653,Marble portrait of the emperor Caracalla,Severan,169
544074,644,"Head of a Canid, possibly a Jackal",Late Period,127
8489,641,0,ttributed to John H. Belter ,739
544092,640,Striding Thoth,Macedonian-Ptolemaic Period,134
437115,639,Chrysanthemums,Claude Monet ,819
436483,639,Pygmalion and Galatea,0,0
547802,636,The Temple of Dendur,Roman Period,131
329072,632,Statue of Gudea,Neo-Sumerian,403
436965,628,The Monet Family in Their Garden at Argenteuil,0,818
247020,626,Bronze chariot inlaid with ivory,Archaic,170
544100,626,Crocodile statue,Roman Period,131
437124,623,Rouen Cathedral: The Portal (Sunlight),Claude Monet ,819
333813,622,0,Edgar Degas ,0
437111,621,0,Claude Monet ,818
11619,620,Cider Making,William Sidney Mount ,758
24960,619,"Colt Third Model Dragoon Percussion Revolver, Serial Number 12406",      Samuel Colt ,371
490036,617,The Accommodations of Desire,0,0
10843,616,The New Bonnet,Francis William Edmonds ,758
544086,615,Seal amulet in the shape of hedgehog,Late Period,127
467594,614,Virgin and Child,Attributed to Claus de Werve ,305
39325,612,Standing Parvati,Chola period ,240
472181,611,0,te 12th century,3
437135,609,0,Claude Monet ,0
337069,608,"Icarus, plate VIII from the illustrated book, ""Jazz""",0,0
11605,608,Susan Walker Morse (The Muse),Samuel F. B. Morse ,756
459182,602,Nude Before a Mirror,Balthus ,0
544079,599,Handle of a Cosmetic Spoon in the Form of a Leopard,New Kingdom,120
205116,598,Virgin and Child,Andrea della Robbia ,300
437121,598,The Four Trees,Claude Monet ,819
271615,596,0,Alfred Stieglitz ,0
436918,596,Venus and Cupid,Lorenzo Lotto ,607
39919,594,None,Mi Fu ,0
544085,591,Seal amulet in the shape of hedgehog,Late Period,127
11737,588,Still Life with Cake,Raphaelle Peale ,756
264688,586,"Campden Hill, London",Bill Brandt ,0
437535,585,Venus and Adonis,Peter Paul Rubens ,628
482445,584,War,Jackson Pollock ,0
9480,583,Vase,  Designed by Louis Comfort Tiffany ,706
192727,583,The Intoxication of Wine,Clodion ,552
437434,583,In the Meadow,Auguste Renoir ,824
437826,581,Venus and Adonis,Titian ,607
484362,577,"No. 13 (White, Red on Yellow)",Mark Rothko ,0
322611,577,Relief panel,Neo-Assyrian,401
337172,574,Tahitian Faces (Frontal View and Profiles),Paul Gauguin ,690
544070,573,Antelope Head,Late Period,123
437430,573,By the Seashore,Auguste Renoir ,824
488486,572,Portrait of a German Officer,Marsden Hartley ,910
544099,570,Dragonfly amulet,Middle Kingdom,109
449533,568,0,     Tughra,0
451286,567,"""Rosette Bearing the Names and Titles of Shah Jahan"", Folio from the Shah Jahan Album",     Album leaf,0
242006,565,Limestone sarcophagus: the Amathus sarcophagus,Archaic,174
255946,563,Terracotta psykter (vase for cooling wine),uted to Oltos,154
247967,560,Bronze diskos thrower,Classical,153
267193,559,Self-portrait,Andy Warhol ,0
437123,558,Ice Floes,Claude Monet ,0
81104,557,"""May""",      House of Dior ,0
470309,557,"The Hours of Jeanne d'Evreux, Queen of France",Jean Pucelle ,13
437283,555,A Hunting Scene,Piero di Cosimo ,0
436658,555,"Portrait of a Member of the Wedigh Family, Probably Hermann von Wedigh (died 1560)",Hans Holbein the Younger ,643
248268,554,Marble head of a goddess,Late Classical,153
38141,548,Loving Couple (Mithuna),Eastern Ganga dynasty,241
337063,547,"Reclining Female Nude (""Negress"" Lying Down)",Rembrandt ,0
249228,543,Bronze man and centaur,Geometric,151
436106,543,0,Jacques Louis David ,614
11734,543,Still Life: Balsam Apple and Vegetables,James Peale ,756
488319,542,Improvisation 27 (Garden of Love II),Vasily Kandinsky ,910
459055,541,The Annunciation,Hans Memling ,953
310325,534,Figure: Seated Couple,0,350
484760,533,Lucas I,Chuck Close ,915
435878,533,Mont Sainte-Victoire,0,822
10909,532,The Angel of Death and the Sculptor from the Milmore Memorial,Daniel Chester French ,700
544071,527,Ibex-Shaped Design Amulet Inscribed With A Crocodile and A Fish,New Kingdom,117
437056,526,0,Hans Memling ,644
324917,525,Storage jar decorated with mountain goats,Chalcolithic,402
437998,521,Olive Trees,Vincent van Gogh ,823
329081,520,"Cuneiform tablet: administrative account of barley distribution with cylinder seal impression of a male figure, hunting dogs, and boars",Jemdet Nasr,402
322903,518,Headdress,Early Dynastic IIIa,403
438005,517,0,Claude Monet ,821
544103,517,"Frog on a lotus pad, perhaps a weight",New Kingdom,122
544087,516,Hare amulet,0,134
329077,515,Head of a ruler,Early Bronze Age,403
282051,514,[Two Standing Female Nudes],0,0
437138,514,0,Claude Monet ,818
437975,513,Sunset after a Storm on the Coast of Sicily,Andreas Achenbach ,0
459052,511,A Goldsmith in his Shop,Petrus Christus ,953
248891,511,Bronze statue of an aristocratic boy,Augustan,0
437112,510,Bouquet of Sunflowers,Claude Monet ,819
438417,508,Two Men Contemplating the Moon,Caspar David Friedrich ,807
247993,507,Marble portrait of the emperor Augustus,"Early Imperial, Julio-Claudian",166
337494,505,Designs for a Nativity or Adoration of the Christ Child; Perspectival Projection (recto); Slight Doodles (verso),Leonardo da Vinci ,0
265563,500,[Mystery of the Street],Umbo ,0
458967,498,Saint Anthony the Abbot in the Wilderness,Osservanza Master ,956
267775,498,0,Edward J. Steichen ,0
337489,497,View of Heidelberg,Jan Brueghel the Elder ,0
465991,496,Angels Swinging Censers,. 1170,304
437110,495,0,Claude Monet ,818
282883,492,Border #8,Michal Rovner ,0
248483,492,Marble grave stele with a family group,Late Classical,156
9317,491,Vase,ohn Bennett ,743
437891,486,Mars and Venus United by Love,Paolo Veronese ,607
250946,484,"Wall painting: Polyphemus and Galatea in a landscape, from the imperial villa at Boscotrecase","Early Imperial, Augustan",166
469960,482,Fragment of a Floor Mosaic with a Personification of Ktisis,0,301
334650,482,Head of a Man,Antoine Watteau ,0
16255,482,Mrs. Hugh Hammersley,John Singer Sargent ,771
451023,482,The Lovers,Painting by Riza-yi `Abbasi ,0
435868,479,The Card Players,0,825
470306,477,"The Belles Heures of Jean de France, Duc de Berry","Herman, Paul, and Jean de Limbourg ",13
437125,477,Morning on the Seine near Giverny,Claude Monet ,819
437487,476,"Francesco d'Este (born about 1430, died after 1475)",Rogier van der Weyden ,644
13052,475,Panoramic View of the Palace and Gardens of Versailles,John Vanderlyn ,735
329074,475,Kneeling bull holding a spouted vessel,Proto-Elamite,402
313327,474,Seated Figure,0,358
544093,473,Inlay depicting Thoth as the ibis with a maat feather,0,134
463188,472,Courtiers in a Rose Garden: A Lady and Two Gentlemen,0,305
469857,472,Theodosius Arrives at Ephesus from a Scene from the Legend of the Seven Sleepers of Ephesus,0,8
459136,471,Madonna and Child,Simone Martini ,952
437984,471,0,Vincent van Gogh ,823
446207,470,Tile with Image of Phoenix,     Tile from a frieze,455
450486,469,Folio from a Qur'an Manuscript,     Folio from a non-illustrated manuscript,0
267530,468,Blessed Art Thou among Women,0,0
438014,465,0,Auguste Renoir ,821
266746,465,"El Morocco, New York",Garry Winogrand ,0
544091,464,Cosmetic Dish in the Shape of a Trussed Duck,"New Kingdom, Amarna Period",121
16577,463,Winter Scene in Moonlight,Henry Farrer ,0
265133,462,"Abstraction, Twin Lakes, Connecticut",Paul Strand ,0
251929,462,Marble statue of a wounded warrior,"Mid-Imperial, Antonine",153
436529,460,0,Vincent van Gogh ,826
13211,458,Arrangement in Flesh Colour and Black: Portrait of Theodore Duret,James McNeill Whistler ,771
38583,458,The Goddess Durga Killing the Buffalo Demon (Mahishasura Mardini),Pala period,238
463795,457,Virgin and Child in Majesty,0,304
79778,456,"""The Souper Dress""",0,0
256255,456,Marble head of Athena,Hellenistic,162
38038,454,A Lady Playing the Tanpura,. 1735,464
37807,449,"Yamantaka, Destroyer of the God of Death",rly 18th century,0
436820,448,0,Gustav Klimt ,829
436536,448,Women Picking Olives,Vincent van Gogh ,823
198556,446,Studiolo from the Ducal Palace in Gubbio,  Designed by Francesco di Giorgio Martini ,501
11797,446,The American School,Matthew Pratt ,747
254649,446,Terracotta column-krater (bowl for mixing wine and water),uted to the Group of Boston 00.348,160
81110,445,Afternoon dress,. 1855,0
470313,444,Doorway from Moutiers-Saint-Jean,. 1250,1
436839,444,The Penitent Magdalen,Georges de La Tour ,617
337068,442,The Frugal Repast,Pablo Picasso ,0
436573,442,0,El Greco ,611
490004,440,Potato,0,906
437169,438,0,Alphonse Mucha ,0
484544,438,Eyes,Louise Bourgeois ,0
459194,436,"The Last Supper, after Leonardo da Vinci",Rembrandt ,0
482698,436,Dancing in Colombia,Fernando Botero ,0
488755,436,Kouros,Isamu Noguchi ,920
437122,434,Haystacks (Effect of Snow and Sun),Claude Monet ,819
437675,433,Saint Andrew,Simone Martini ,625
436446,432,Two Tahitian Women,Paul Gauguin ,826
464377,427,Plate with the Battle of David and Goliath,0,301
435754,424,Breton Brother and Sister,William Bouguereau ,827
435896,423,Portrait of a Carthusian,Petrus Christus ,641
337699,420,Summer Morning,David Lucas ,0
490007,418,Constellation: Toward the Rainbow,0,0
486345,418,Washstand,  Charles Rennie Mackintosh ,0
436534,418,Roses,Vincent van Gogh ,0
44781,417,Spouted Ritual Wine Vessel (Guang),"Shang dynasty, early Anyang period ",207
544094,415,Butterfly amulet,Middle Kingdom,109
12602,411,Mrs. Francis Brinley and Her Son Francis,John Smibert ,747
247017,408,Cubiculum (bedroom) from the Villa of P. Fannius Synistor at Boscoreale,Late Republic,165
267842,408,"The Big White Cloud, Lake George",Edward J. Steichen ,0
470305,406,The Cloisters Cross,th century,14
38021,406,Chakrasamvara Mandala,0,252
483484,406,Standing Woman,Gaston Lachaise ,913
481451,405,Slide Lecture at the Metropolitan Museum,Max Weber ,0
38328,405,"The Bodhisattva Maitreya, the Buddha of the Future",Thakuri period,0
488089,404,July Hay,Thomas Hart Benton ,0
451725,404,"""The Concourse of the Birds"", Folio 11r from a Mantiq al-tair (Language of the Birds)",Painting by Habiballah of Sava ,0
38198,403,Standing Buddha Offering Protection,Gupta period ,236
444812,402,Pair of Minbar Doors,     Pair of doors,450
11375,401,"The Great Statue of Amida Buddha at Kamakura, Known as the Daibutsu, from the Priest's Garden",John La Farge ,0
436253,399,Lucas van Uffel (died 1637),Anthony van Dyck ,628
25111,398,Album of Tournaments and Parades in Nuremberg,0,373
459139,396,Before Dinner,Pierre Bonnard ,0
437117,395,Palm Trees at Bordighera,Claude Monet ,0
204804,394,La Crainte des Traits de l'Amour,Jean-Louis Lemoyne ,548
11263,394,The Hatch Family,Eastman Johnson ,763
482510,393,"Fishing Boats, Collioure",0,830
437384,392,0,Henri Regnault ,827
437439,392,A Young Girl with Daisies,Auguste Renoir ,0
459090,391,0,Goya ,958
435839,389,Piazza San Marco,Canaletto ,619
7595,388,Sofa,ttributed to Duncan Phyfe ,728
265132,387,"Criss-Crossed Conveyors, River Rouge Plant, Ford Motor Company",Charles Sheeler ,0
435831,387,The Birth of Venus,Alexandre Cabanel ,0
437118,387,The Valley of the Nervia,Claude Monet ,0
81132,385,Jacket,. 1616,0
490034,385,The Seine at Chatou,Maurice de Vlaminck ,904
23205,385,Armor,0,373
336489,384,Queen Esther Approaching the Palace of Ahasuerus,Claude Lorrain ,690
337071,383,Pink and Rose,  William Morris ,0
544073,381,Headband with Heads of Gazelles and a Stag Between Stars or Flowers,Second Intermediate Period,111
24671,380,0,. 1555,374
469887,378,Martyrdom of Saint Lawrence,0,8
436453,373,Esther before Ahasuerus,Artemisia Gentileschi ,601
464428,371,Icon with the Crucifixion,d-10th century,303
255658,370,Terracotta kylix (drinking cup),uted to the Villa Giulia Painter,157
255949,370,Terracotta lekythos (oil flask),uted to the Achilles Painter,159
544227,370,Hippopotamus,Middle Kingdom,111
11383,369,Portrait of the Painter,John La Farge ,766
252975,369,Bronze Herakles,Archaic,155
437433,369,"The Farm at Les Collettes, Cagnes",Auguste Renoir ,0
267748,367,Blind,Paul Strand ,0
544084,367,Seal amulet in the shape of hedgehog,Middle Kingdom,109
436121,365,0,Edgar Degas ,810
436840,364,0,0,613
436572,363,Christ Healing the Blind,El Greco ,611
464483,363,Chasse with the Crucifixion and Christ in Majesty,0,304
10793,362,0,Asher Brown Durand ,759
44841,361,None,Kamakura period ,0
435877,359,Mont Sainte-Victoire and the Viaduct of the Arc River Valley,0,825
459093,359,Diana and Actaeon (Diana Surprised in Her Bath),Camille Corot ,957
24832,358,Sword,th century,370
